ObservationTime(LST),Global Horizontal Irradiance (GHI) W/m2,Direct Normal Irradiance (DNI) W/m2,AmbientTemperature (deg C),WindSpeed (m/s),Relative Humidity (%),Liquid Precipitation (kg/m2),Solid Precipitation (kg/m2),Snow Depth (m),Clear Sky GHI,Clear Sky DNI,Clear Sky DHI,IrradianceObservationType,LeadTime,DataVersion,ObservationTime(GMT),Diffuse Horizontal Irradiance (DIF) W/m2,AmbientTemperatureObservationType,WindSpeedObservationType,Albedo,Particulate Matter 10 (�g/m3),Particulate Matter 2.5 (�g/m3)
09/02/2021 01:00,0,0,27,5,64,0,0,0,0,0,0,AN,,3.5,09/02/2021 07:00,0,O,O,0.22,45.6,21.5
09/02/2021 02:00,0,0,26,4,67,0,0,0,0,0,0,AN,,3.5,09/02/2021 08:00,0,O,O,0.22,45.6,22.5
09/02/2021 03:00,0,0,26,4,70,0,0,0,0,0,0,AN,,3.5,09/02/2021 09:00,0,O,O,0.22,45.6,23.5
09/02/2021 04:00,0,0,25,4,72,0,0,0,0,0,0,AN,,3.5,09/02/2021 10:00,0,O,O,0.22,55.1,24.4
09/02/2021 05:00,0,0,24,2,73,0,0,0,0,0,0,AN,,3.5,09/02/2021 11:00,0,O,O,0.22,55.1,25.4
09/02/2021 06:00,0,0,24,2,74,0,0,0,0,0,0,AN,,3.5,09/02/2021 12:00,0,O,O,0.22,55.1,26.7
09/02/2021 07:00,22,54,23,1,75,0,0,0,25,97,23,AD,,3.5,09/02/2021 13:00,21,O,O,0.22,63.1,28.3
09/02/2021 08:00,113,101,24,2,73,0,0,0,184,486,69,AD,,3.5,09/02/2021 14:00,89,O,O,0.22,63.1,30.3
09/02/2021 09:00,219,73,25,2,64,0,0,0,397,705,85,AD,,3.5,09/02/2021 15:00,187,O,O,0.22,63.1,29.5
09/02/2021 10:00,488,388,28,3,54,0,0,0,598,806,96,AD,,3.5,09/02/2021 16:00,246,O,O,0.22,68.7,27.7
09/02/2021 11:00,727,670,31,4,49,0,0,0,763,857,106,AD,,3.5,09/02/2021 17:00,213,O,O,0.22,68.7,25.9
09/02/2021 12:00,861,809,32,4,46,0,0,0,876,882,114,AD,,3.5,09/02/2021 18:00,162,O,O,0.22,68.7,23.7
09/02/2021 13:00,913,806,32,4,43,0,0,0,926,891,119,AD,,3.5,09/02/2021 19:00,183,O,O,0.22,51.8,22.1
09/02/2021 14:00,771,490,34,4,41,0,0,0,909,885,119,AD,,3.5,09/02/2021 20:00,334,O,O,0.22,51.8,21.1
09/02/2021 15:00,566,274,34,4,40,0,0,0,825,864,114,AD,,3.5,09/02/2021 21:00,340,O,O,0.22,51.8,20.8
09/02/2021 16:00,553,371,34,4,40,0,0,0,684,821,107,AD,,3.5,09/02/2021 22:00,292,O,O,0.22,43.8,18.9
09/02/2021 17:00,474,534,33,5,44,0,0,0,497,736,100,AD,,3.5,09/02/2021 23:00,186,O,O,0.22,43.8,19.1
09/02/2021 18:00,223,262,32,4,49,0,0,0,285,572,88,AD,,3.5,09/03/2021 00:00,133,O,O,0.22,43.8,19.6
09/02/2021 19:00,76,158,32,4,49,0,0,0,85,232,54,AD,,3.5,09/03/2021 01:00,55,O,O,0.22,44.4,20.4
09/02/2021 20:00,2,5,32,3,50,0,0,0,2,7,3,AD,,3.5,09/03/2021 02:00,2,O,O,0.22,44.4,21.3
09/02/2021 21:00,0,0,30,4,56,0,0,0,0,0,0,AN,,3.5,09/03/2021 03:00,0,O,O,0.22,44.4,22.1
09/02/2021 22:00,0,0,27,4,62,0,0,0,0,0,0,AN,,3.5,09/03/2021 04:00,0,O,O,0.22,46.4,22.8
09/02/2021 23:00,0,0,27,5,63,0,0,0,0,0,0,AN,,3.5,09/03/2021 05:00,0,O,O,0.22,46.4,23.6
09/03/2021 00:00,0,0,27,4,63,0,0,0,0,0,0,AN,,3.5,09/03/2021 06:00,0,O,O,0.22,46.4,24.1
09/03/2021 01:00,0,0,27,3,64,0,0,0,0,0,0,AN,,3.5,09/03/2021 07:00,0,O,O,0.22,46.7,24.5
09/03/2021 02:00,0,0,27,3,68,0,0,0,0,0,0,AN,,3.5,09/03/2021 08:00,0,O,O,0.22,46.7,24.3
09/03/2021 03:00,0,0,26,3,74,0,0,0,0,0,0,AN,,3.5,09/03/2021 09:00,0,O,O,0.22,46.7,23.1
09/03/2021 04:00,0,0,25,4,73,0,0,0,0,0,0,AN,,3.5,09/03/2021 10:00,0,O,O,0.22,46.4,21.2
09/03/2021 05:00,0,0,24,5,69,0,0,0,0,0,0,AN,,3.5,09/03/2021 11:00,0,O,O,0.22,46.4,20
09/03/2021 06:00,0,0,25,4,70,0,0,0,0,0,0,AN,,3.5,09/03/2021 12:00,0,O,O,0.22,46.4,19.5
09/03/2021 07:00,22,80,24,4,72,0,0,0,23,91,21,AD,,3.5,09/03/2021 13:00,21,O,O,0.22,47.7,19.5
09/03/2021 08:00,173,419,24,4,72,0,0,0,182,473,71,AD,,3.5,09/03/2021 14:00,75,O,O,0.22,47.7,18.7
09/03/2021 09:00,392,661,25,5,65,0,0,0,394,695,88,AD,,3.5,09/03/2021 15:00,101,O,O,0.22,47.7,17.6
09/03/2021 10:00,595,789,28,5,54,0,0,0,595,797,100,AD,,3.5,09/03/2021 16:00,105,O,O,0.22,44.6,16.7
09/03/2021 11:00,761,825,31,5,46,0,0,0,761,856,106,AD,,3.5,09/03/2021 17:00,130,O,O,0.22,44.6,16.4
09/03/2021 12:00,801,641,32,4,42,0,0,0,875,890,109,AD,,3.5,09/03/2021 18:00,249,O,O,0.22,44.6,16.1
09/03/2021 13:00,832,617,33,4,40,0,0,0,926,905,108,AD,,3.5,09/03/2021 19:00,274,O,O,0.22,33.9,14.7
09/03/2021 14:00,859,683,34,5,37,0,0,0,908,894,113,AD,,3.5,09/03/2021 20:00,252,O,O,0.22,33.9,14.6
09/03/2021 15:00,662,403,35,5,33,0,0,0,823,867,112,AD,,3.5,09/03/2021 21:00,332,O,O,0.22,33.9,14.6
09/03/2021 16:00,633,616,36,5,34,0,0,0,680,818,108,AD,,3.5,09/03/2021 22:00,202,O,O,0.22,29.3,15.9
09/03/2021 17:00,478,653,34,5,37,0,0,0,493,739,97,AD,,3.5,09/03/2021 23:00,128,O,O,0.22,29.3,15.9
09/03/2021 18:00,274,485,34,5,41,0,0,0,282,582,84,AD,,3.5,09/04/2021 00:00,109,O,O,0.22,29.3,16.1
09/03/2021 19:00,59,77,31,5,44,0,0,0,83,244,52,AD,,3.5,09/04/2021 01:00,49,O,O,0.22,27.1,16.7
09/03/2021 20:00,1,0,31,4,46,0,0,0,2,7,3,AD,,3.5,09/04/2021 02:00,1,O,O,0.22,27.1,17.4
09/03/2021 21:00,0,0,30,4,52,0,0,0,0,0,0,AN,,3.5,09/04/2021 03:00,0,O,O,0.22,27.1,18
09/03/2021 22:00,0,0,27,4,57,0,0,0,0,0,0,AN,,3.5,09/04/2021 04:00,0,O,O,0.22,32.3,18.5
09/03/2021 23:00,0,0,27,5,59,0,0,0,0,0,0,AN,,3.5,09/04/2021 05:00,0,O,O,0.22,32.3,18.6
09/04/2021 00:00,0,0,26,5,60,0,0,0,0,0,0,AN,,3.5,09/04/2021 06:00,0,O,O,0.22,32.3,19.1
09/04/2021 01:00,0,0,27,5,61,0,0,0,0,0,0,AN,,3.5,09/04/2021 07:00,0,O,O,0.22,36.4,20.1
09/04/2021 02:00,0,0,26,5,61,0,0,0,0,0,0,AN,,3.5,09/04/2021 08:00,0,O,O,0.22,36.4,22
09/04/2021 03:00,0,0,27,5,61,0,0,0,0,0,0,AN,,3.5,09/04/2021 09:00,0,O,O,0.22,36.4,23.6
09/04/2021 04:00,0,0,25,5,66,0,0,0,0,0,0,AN,,3.5,09/04/2021 10:00,0,O,O,0.22,50.3,24.7
09/04/2021 05:00,0,0,23,4,70,0,0,0,0,0,0,AN,,3.5,09/04/2021 11:00,0,O,O,0.22,50.3,24.8
09/04/2021 06:00,0,0,23,4,70,0,0,0,0,0,0,AN,,3.5,09/04/2021 12:00,0,O,O,0.22,50.3,24.5
09/04/2021 07:00,21,68,23,4,70,0,0,0,22,81,21,AD,,3.5,09/04/2021 13:00,20,O,O,0.22,51.3,24.5
09/04/2021 08:00,170,374,23,4,67,0,0,0,178,452,73,AD,,3.5,09/04/2021 14:00,83,O,O,0.22,51.3,25.3
09/04/2021 09:00,390,649,24,4,57,0,0,0,390,677,93,AD,,3.5,09/04/2021 15:00,106,O,O,0.22,51.3,25.6
09/04/2021 10:00,591,774,28,5,46,0,0,0,591,783,106,AD,,3.5,09/04/2021 16:00,112,O,O,0.22,60.3,23.1
09/04/2021 11:00,758,851,30,4,41,0,0,0,758,853,108,AD,,3.5,09/04/2021 17:00,109,O,O,0.22,60.3,20.7
09/04/2021 12:00,869,884,31,4,39,0,0,0,874,896,105,AD,,3.5,09/04/2021 18:00,110,O,O,0.22,60.3,19
09/04/2021 13:00,926,910,32,3,37,0,0,0,926,920,97,AD,,3.5,09/04/2021 19:00,106,O,O,0.22,24.2,11.5
09/04/2021 14:00,884,819,33,3,33,0,0,0,907,910,100,AD,,3.5,09/04/2021 20:00,158,O,O,0.22,24.2,10.9
09/04/2021 15:00,792,739,34,2,29,0,0,0,822,884,100,AD,,3.5,09/04/2021 21:00,189,O,O,0.22,24.2,10.5
09/04/2021 16:00,601,548,34,2,27,0,0,0,680,838,97,AD,,3.5,09/04/2021 22:00,220,O,O,0.22,23.2,11.4
09/04/2021 17:00,434,476,34,3,29,0,0,0,492,759,89,AD,,3.5,09/04/2021 23:00,181,O,O,0.22,23.2,11.4
09/04/2021 18:00,228,300,34,3,31,0,0,0,280,601,78,AD,,3.5,09/05/2021 00:00,127,O,O,0.22,23.2,11.7
09/04/2021 19:00,69,140,34,3,33,0,0,0,80,255,49,AD,,3.5,09/05/2021 01:00,52,O,O,0.22,23.6,12.6
09/04/2021 20:00,1,0,31,2,36,0,0,0,2,7,3,AD,,3.5,09/05/2021 02:00,1,O,O,0.22,23.6,13.9
